Nummer|Menü|Titel|Text|Bilder
||||
1|Rechtzeitig beginnen|Kommt Zeit, kommt Glut|Klassischer Grill-Fehler, den wir alle machen: zu spät starten.\nBeim Grillen muss man sich Zeit lassen, denn Ungeduld führt bestenfalls zu mittelmäßigem Ergebnis. Also lieber den Grill rechtzeitig anfeuern und erst beginnen, wenn sich auf der Holzkohle eine dünne weiße Ascheschicht gebildet hat. Es lohnt sich!|
2|Die richtige Temperatur|Mit Gefühl|Ob die Temperatur zum Grillen stimmt, kann man ganz wörtlich mit Fingerspitzengefühl testen: Dafür die Hand auf Höhe des Grillrostes über den Grill halten und zählen „21, 22, 23“. Muss man die Hand vorher wegziehen, ist der Grill zu heiß, hält man es locker länger aus, ist die Temperatur nicht hoch genug. Ihr habt es also in der Hand!|
3|Das richtige Grillbesteck|Aufgegabelt|Lasst die Gabel weg beim Grillen, auf dem Teller kommt sie früh genug zum Einsatz. Zum Wenden des Fleisches auf dem Grillrost eignet sich die Grillzange viel besser, da sie nicht ins Fleisch sticht. Dabei würde nämlich Saft austreten und das Fleisch unnötig austrocknen.|
4|Richtig würzen|In der Kürze liegt die Würze|Bitte setzt den Salzstreuer erst am Tisch ein. Wer das Fleisch schon vor dem Grillen salzt, tut ihm und sich keinen Gefallen:\nDas Fleisch trocknet dadurch beim Grillen schnell aus. Wenn es saftig vom Rost kommt, könnt Ihr nach Herzenslust und persönlichem Geschmack salzen.|
5|Würste vorbereiten|Das ist uns nicht wurscht|Das Auge isst bekanntlich mit – und findet eine rundum gut gebräunte Wurst wesentlich attraktiver, als eine unschön aufgeplatzte. Deshalb stecht den Naturdarm vor dem Grillen mit einer Gabel ein, dann gibt’s anschließend keine hässlichen Risse.|
6|Grillrost ölen|Gut geölt|Kleiner Handgriff, große Wirkung: Wenn Ihr den Rost vor dem Grillen mit etwas Speiseöl einpinselt, pappt das Fleisch nicht an und der Grillrost lässt sich nachher viel leichter reinigen.|
7|Anzündhilfen|Light my fire|Finger weg von Benzin & Spiritus beim Anzünden. Wir wollen grillen und kein Feuerwerk machen! Beste Wahl ist natürlich fester oder flüssiger Sicherheitsanzünder von Landmann. Wer den aber gerade nicht im Haus hat, kann sich „eierleicht“ behelfen: Einfach den Boden eines Eierkartons zerteilen und die „Hütchen“ mit der Spitze nach oben in den Grill stellen. Holzkohle darüber geben und Eierkartons anzünden. Fertig!|
8|Der Anzündkamin|Wirklich g(L)ut!|Vor diesem Zylinder ziehe ich meinen Hut, denn mit dem Anzündkamin gelingt es überall und jedem, den Holzkohlegrill zügig und sicher zu entflammen: Man entzündet auf Kohlerost oder Feuerschale ein Holzspan, Anzündwürfel oder –stäbchen mit etwas zusammengeknülltem Zeitungspapier und stellt den mit Kohle gefüllten Anzündzylinder darüber. Den Rest erledigt die Physik mit Unterdruck und nachströmender Luft. Das geht rauchfrei, heißer und schneller. Nach 15 bis 20 Minuten kann die weißglühende Kohle auf dem Grill verteilt werden, wobei man mit dem Anzündkamin wiederum alles sicher im Griff hat - und für Nachzügler unter den Gästen erneut Glut vorbereiten kann. Wirklich gut!|grilltips_8_1.jpg,grilltips_8_2.jpg,grilltips_8_3.jpg
9|Niedrige Temperaturen|Auf die sanfte Tour|Niedrigtemperatur-Garen ist nichts für den Grill? Von wegen!\nKeiner bekommt den leckeren Mix aus krosser Oberfläche und sanft gegartem Inneren mit Umluft so unkompliziert hin wie ein ausreichend großer Kugelgrill, etwa Landmanns black perl select. Dafür die Kohle im Anzündkamin vorglühen, weiß glühend an den Rändern des Rostes verteilen (wer hat, nimmt einen Kohlenteiler) und dazwischen eine feuerfeste Schale mit Wasser platzieren, die das Fett des Grillguts auffängt. Den Grillrost mit etwas Speiseöl einpinseln und los geht’s: Das Fleisch kommt kurz über die größte Hitze, damit es außen knusprig wird und rückt dann in die Mitte, wo es bei ca. 110 Grad schonend fertig gegart wird. So kann auch empfindliches Grillgut wie Fisch im Ganzen und besonders saftig zubereitet werden – auf die sanfte Tour eben.|
10|Räuchern|Frisch aus dem Rauch|Lernen Sie Ihren Kugelgrill mal von einer anderen Seite kennen\nDiese Grillvariante – etwa Landmanns black pearl – lässt sich nämlich auch prima als Räucherofen für frischen Fisch von Makrele über Forelle bis Lachs verwenden. Wichtigste Zutat damit’s klappt ist das richtige Holz: trocken gelagerte, klein gehackte Stücke von Erle, Robinie oder Buche (auf keinen Fall Nadelhölzer!) werden in der einen Hälfte der Feuerschale entzündet, daneben kommt eine Tropfschale. Die untere Luftzufuhr bleibt geöffnet bis das Holz gut durchgeglüht ist.\nDer Grill wird mit geöffneter Lüftungsklappe im Deckel auf 90 Grad hochgeheizt und anschließend bei 40-50 Grad Betriebstemperatur gehalten.\n\nDer Fisch muss zuvor zwischen acht und zwölf Stunden in einer acht- bis zehnprozentigen Salzlake liegen, gemeinsam mit in Wasser aufgekochten Gewürzen von Wacholderbeeren über Pfefferkörner und Kümmel bis zu Lorbeerblättern, anschließend mit viel Wasser gereinigt und dann gut mit Küchenpapier getrocknet werden. Den Rest erledigt der Grill. In rund 15 Minuten trocknet er den Fisch, der auf dem geölten Rost neben der Glut platziert wird – unter geschlossenem Deckel mit geöffneter Abluft. Die Temperatur darf steigen.\n\nNun geht’s ans eigentliche Räuchern: Holzmehl oder –chips, Obstholz oder Hickorystücke kommen auf die Glut und sorgen fürs Räucheraroma – untere Luftzufuhr schließen. Nach etwa 60 Minuten (Makrele) bis 120 Minuten (Aal, Forelle) werden die fertigen Fische goldgelb vom Rost genommen und noch etwas in Ruhe gelassen. Am besten schmeckt Selbstgeräuchertes am zweiten oder dritten Tag. Also, setzt doch auch mal leckere Rauchzeichen!|grilltips_10_0.jpg,grilltips_10_1.jpg,grilltips_10_2.jpg,grilltips_10_3.jpg
